case_id,contrast,group,reference,macro_level_dice,binary_dice,dice_C2,dice_C3,dice_C4,dice_C5,dice_C6,dice_C7,dice_C8,dice_T1,n_levels_in_union,gt_foreground_voxels,pred_foreground_voxels,gt_levels,pred_levels,max_affine_error
sub-18_UNIT1,UNIT1,UNIT1,sub-18_UNIT1.nii.gz,0.8480225707011475,0.847970479704797,0.8977272727272727,0.8360128617363344,0.7863777089783281,0.8052708638360175,0.8265582655826558,0.9062119366626066,0.8739316239316239,0.8520900321543409,8,2747,2673,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-19_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-19_inv-1_part-mag_MP2RAGE.nii.gz,0.8280665360033335,0.8328900709219859,0.7818181818181819,0.8310679611650486,0.8288770053475936,0.8652931854199684,0.8792650918635171,0.8605341246290801,0.8562691131498471,0.7214076246334311,8,2265,2247,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-19_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-19_inv-2_part-mag_MP2RAGE.nii.gz,0.833621970672039,0.839385163733571,0.780952380952381,0.8464566929133859,0.8324324324324325,0.8945686900958466,0.8906048906048906,0.8630338733431517,0.8377125193199382,0.7232142857142857,8,2265,2224,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-19_UNIT1,UNIT1,UNIT1,sub-19_UNIT1.nii.gz,0.835325042792358,0.8433628318584071,0.7601809954751131,0.837573385518591,0.8351063829787234,0.8969889064976229,0.895483870967742,0.8753709198813057,0.8610687022900764,0.7208271787296898,8,2265,2255,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-20_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-20_inv-1_part-mag_MP2RAGE.nii.gz,0.7734555730021451,0.7733281493001555,0.7371134020618557,0.7589158345221113,0.8122866894197952,0.7838676318510859,0.7895545314900153,0.8187633262260128,0.7563739376770539,0.7307692307692307,8,2641,2503,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-20_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-20_inv-2_part-mag_MP2RAGE.nii.gz,0.7939966155095892,0.7935395991438023,0.7806122448979592,0.7965367965367965,0.8131487889273357,0.8071278825995807,0.801762114537445,0.8308351177730193,0.7771428571428571,0.744807121661721,8,2641,2498,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-20_UNIT1,UNIT1,UNIT1,sub-20_UNIT1.nii.gz,0.7826213528539722,0.7837678886492845,0.7335092348284961,0.7793696275071633,0.8082191780821918,0.7983281086729362,0.8118195956454122,0.8283261802575107,0.7714285714285715,0.7299703264094956,8,2641,2460,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-22_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-22_inv-1_part-mag_MP2RAGE.nii.gz,0.8484734178907268,0.8439910425478975,0.9137055837563451,0.8073878627968337,0.8376068376068376,0.8342059336823735,0.8739205526770294,0.8913738019169329,0.8205980066445183,0.8089887640449438,8,2035,1984,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-22_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-22_inv-2_part-mag_MP2RAGE.nii.gz,0.8495214281834653,0.8381660470879801,0.934010152284264,0.856396866840731,0.8555240793201133,0.8261617900172117,0.87215411558669,0.8791208791208791,0.8156606851549756,0.7571428571428571,8,2035,2000,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-22_UNIT1,UNIT1,UNIT1,sub-22_UNIT1.nii.gz,0.8502534064357145,0.846441947565543,0.9137055837563451,0.8032345013477089,0.8376068376068376,0.8378378378378378,0.8732394366197183,0.8813008130081301,0.8374384236453202,0.8176638176638177,8,2035,1970,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-23_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-23_inv-1_part-mag_MP2RAGE.nii.gz,0.8276239363640612,0.8244094488188977,0.825,0.893687707641196,0.8407079646017699,0.782258064516129,0.8105960264900662,0.804177545691906,0.8498402555910544,0.8147239263803681,8,2537,2543,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,7.450580596923828e-09
sub-23_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-23_inv-2_part-mag_MP2RAGE.nii.gz,0.8533034640587727,0.8497409326424871,0.85625,0.891566265060241,0.8708971553610503,0.8428372739916551,0.8602150537634409,0.844559585492228,0.865040650406504,0.7950617283950617,8,2537,2481,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,7.450580596923828e-09
sub-23_UNIT1,UNIT1,UNIT1,sub-23_UNIT1.nii.gz,0.8394614327221491,0.8389142064592827,0.8198757763975155,0.8991452991452992,0.8269662921348314,0.8169398907103825,0.8556566970091027,0.8335517693315858,0.8680445151033387,0.7955112219451371,8,2537,2510,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,7.450580596923828e-09
sub-25_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-25_inv-1_part-mag_MP2RAGE.nii.gz,0.8324715035108949,0.8368693171688358,0.7956043956043956,0.8306801736613604,0.8235294117647058,0.8261437908496732,0.8677792041078306,0.8686868686868687,0.8520461699895068,0.7953020134228188,8,2871,2738,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-25_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-25_inv-2_part-mag_MP2RAGE.nii.gz,0.8500560300152884,0.8530390611315467,0.8300220750551877,0.8792134831460674,0.8556876061120543,0.8456549935149157,0.8734491315136477,0.8654088050314466,0.8615384615384616,0.7894736842105263,8,2871,2838,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-25_UNIT1,UNIT1,UNIT1,sub-25_UNIT1.nii.gz,0.8403179228753801,0.8423280423280424,0.8336933045356372,0.8640226628895185,0.826530612244898,0.8181818181818182,0.8560509554140128,0.8672566371681416,0.8508863399374348,0.805921052631579,8,2871,2799,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-27_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-27_inv-1_part-mag_MP2RAGE.nii.gz,0.8265625213838005,0.8301520543513426,0.7832512315270936,0.8022988505747126,0.7833981841763943,0.8560509554140128,0.8426294820717132,0.865315852205006,0.8943298969072165,0.7852257181942545,8,3107,3075,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-27_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-27_inv-2_part-mag_MP2RAGE.nii.gz,0.8413729389123714,0.8443074927019137,0.8037825059101655,0.8300578034682081,0.8026315789473685,0.8792884371029225,0.8479355488418933,0.8681983071342201,0.889171974522293,0.8099173553719008,8,3107,3059,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-27_UNIT1,UNIT1,UNIT1,sub-27_UNIT1.nii.gz,0.8341968017271956,0.8382999511480215,0.7897435897435897,0.8088064889918888,0.7926988265971316,0.8713375796178344,0.8551448551448552,0.8712394705174489,0.9011553273427471,0.783448275862069,8,3107,3034,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-28_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-28_inv-1_part-mag_MP2RAGE.nii.gz,0.8057522320128552,0.8190626853865929,0.653179190751445,0.8398950131233596,0.7962529274004684,0.7827426810477658,0.8560817084493965,0.8443843031123139,0.8333333333333334,0.8401486988847584,8,2560,2497,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-28_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-28_inv-2_part-mag_MP2RAGE.nii.gz,0.8108078323169213,0.821917808219178,0.688,0.8284960422163589,0.7923627684964201,0.7962962962962963,0.8531073446327684,0.8299319727891157,0.8464163822525598,0.8518518518518519,8,2560,2477,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-28_UNIT1,UNIT1,UNIT1,sub-28_UNIT1.nii.gz,0.8067491555609914,0.820818434644418,0.6376811594202898,0.8443271767810027,0.786046511627907,0.7933130699088146,0.8550046772684752,0.8460471567267683,0.8365276211950394,0.8550458715596331,8,2560,2474,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-29_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-29_inv-1_part-mag_MP2RAGE.nii.gz,0.8509359274943145,0.8573711546144627,0.7768595041322314,0.8543046357615894,0.8300153139356815,0.8962264150943396,0.8673587081891581,0.8713826366559485,0.8865979381443299,0.8247422680412371,8,2560,2446,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-29_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-29_inv-2_part-mag_MP2RAGE.nii.gz,0.8594866629932101,0.8655227454110136,0.7948051948051948,0.8455008488964346,0.8567073170731707,0.901453957996769,0.870561282932417,0.889937106918239,0.8978007761966365,0.8191268191268192,8,2560,2452,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-29_UNIT1,UNIT1,UNIT1,sub-29_UNIT1.nii.gz,0.8595018498576938,0.8667601683029453,0.7626666666666667,0.8552412645590682,0.8465116279069768,0.8945686900958466,0.8835616438356164,0.8828250401284109,0.8976377952755905,0.8530020703933747,8,2560,2431,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-30_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-30_inv-1_part-mag_MP2RAGE.nii.gz,0.801838823513195,0.8043093270365997,0.7845884413309983,0.837953091684435,0.7521793275217933,0.7801932367149759,0.793465577596266,0.834326579261025,0.8338081671415005,0.798196166854566,8,3428,3348,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-30_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-30_inv-2_part-mag_MP2RAGE.nii.gz,0.811025719852794,0.8124538881510993,0.804159445407279,0.8288482238966631,0.7897310513447433,0.7821901323706378,0.7923627684964201,0.8349282296650717,0.8344370860927153,0.8215488215488216,8,3428,3349,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-30_UNIT1,UNIT1,UNIT1,sub-30_UNIT1.nii.gz,0.8044167109931848,0.8069343606460216,0.7801418439716312,0.8322440087145969,0.7410161090458488,0.7970838396111786,0.8080094228504122,0.8424821002386634,0.8330170777988615,0.8013392857142857,8,3428,3321,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-36_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-36_inv-1_part-mag_MP2RAGE.nii.gz,0.7863421088369431,0.779843808107103,0.8123711340206186,0.8699763593380615,0.7925407925407926,0.771712158808933,0.712401055408971,0.8422360248447205,0.7968923418423973,0.6926070038910506,8,2723,2655,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-36_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-36_inv-2_part-mag_MP2RAGE.nii.gz,0.8123030148953732,0.8050707330516259,0.8628230616302187,0.8803827751196173,0.815668202764977,0.8038976857490865,0.7364238410596027,0.8596059113300493,0.8,0.7396226415094339,8,2723,2720,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-36_UNIT1,UNIT1,UNIT1,sub-36_UNIT1.nii.gz,0.7985234160280428,0.7911721068249258,0.8329896907216495,0.8699763593380615,0.8148148148148148,0.7711138310893513,0.7217043941411452,0.8435544430538173,0.8081264108352144,0.7259073842302879,8,2723,2669,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-38_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-38_inv-1_part-mag_MP2RAGE.nii.gz,0.8247487114099127,0.8168405901403383,0.7718550106609808,0.8232662192393736,0.8874172185430463,0.8152380952380952,0.8333333333333334,0.868421052631579,0.806282722513089,0.7921760391198044,8,1441,1338,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-38_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-38_inv-2_part-mag_MP2RAGE.nii.gz,0.857384147987871,0.8458806818181818,0.8123711340206186,0.849438202247191,0.9163879598662207,0.8222222222222222,0.8539325842696629,0.9113924050632911,0.8571428571428571,0.8361858190709046,8,1441,1375,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-38_UNIT1,UNIT1,UNIT1,sub-38_UNIT1.nii.gz,0.8379690050500026,0.8302023121387283,0.7861771058315334,0.8552338530066815,0.8851351351351351,0.8265682656826568,0.8651685393258427,0.8974358974358975,0.8021390374331551,0.7858942065491183,8,1441,1327,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
