label,level,n_valid,n_gt_present,n_pred_present,mean,sd,median,q1,q3
2,C2,76,76,76,0.7924037129481845,0.0682217782798002,0.7867055741923625,0.7631048292108362,0.8319312041470808
3,C3,76,76,76,0.8210989873070279,0.04457718118399711,0.8294530136824356,0.8037498018075155,0.8478524593909209
4,C4,76,76,76,0.7987879104219565,0.07276452460251179,0.8127177391735654,0.7784781975803843,0.8419507265377472
5,C5,76,76,76,0.7932540824067348,0.07045133977629572,0.8026550110991281,0.7737551073714062,0.8378645443862835
6,C6,76,76,76,0.811350593898621,0.06301970749493563,0.8185058644303442,0.7885260518742164,0.8551647680896527
7,C7,76,76,76,0.8226522812063805,0.06069167078374348,0.8422682907154957,0.7838722324309118,0.8674920546596612
8,C8,76,76,76,0.7983979941701411,0.06921364693261275,0.8139519161701948,0.7655745895928034,0.8472723505871834
9,T1,76,75,76,0.7420335275483246,0.10913469402664837,0.7544235345014061,0.7039508552156107,0.7988316269859429
