group,n_cases,macro_n,macro_mean,macro_sd,macro_median,macro_q1,macro_q3,binary_n,binary_mean,binary_sd,binary_median,binary_q1,binary_q3
All,76,76,0.7974973862384215,0.05060724087062971,0.8064065341799751,0.7809681569091627,0.8337656784358282,76,0.802239996586576,0.0461984846319583,0.8128093241678636,0.7865813920700337,0.8338848824836984
T2w,31,31,0.7550414971013064,0.05049405817581549,0.7693909194251609,0.7265288477711429,0.7924226591018683,31,0.7686503595246793,0.050858884164159596,0.7815110451085948,0.745790383321625,0.803430119729724
INV1,15,15,0.820498529351193,0.02265809321679241,0.8265625213838005,0.8037955277630251,0.8330299692245493,15,0.8197421136555718,0.024036523794291793,0.8210922787193974,0.810574958588469,0.8348796940454108
INV2,15,15,0.8321321222188178,0.020739364459611442,0.833621970672039,0.8116643673740835,0.8497887290993769,15,0.8293012847585908,0.022194126212943414,0.8381660470879801,0.8118446541445808,0.8450940872600478
UNIT1,15,15,0.8276036780286238,0.022329745935121204,0.835325042792358,0.8070862312019538,0.8421226184727675,15,0.8270951746068189,0.023401173737835717,0.8318289786223277,0.8129627292844351,0.8428454370932248
