group,n_cases,macro_n,macro_mean,macro_sd,macro_median,macro_q1,macro_q3,binary_n,binary_mean,binary_sd,binary_median,binary_q1,binary_q3
All,17,17,0.635402874477708,0.060786433657306585,0.6450721321392644,0.6058050024200602,0.6826897377268614,17,0.6442808784181193,0.05909687920823084,0.6554022632150054,0.627621247113164,0.6850698535600067
T2w,5,5,0.638602822264448,0.045610398045489324,0.6271557510631759,0.6058050024200602,0.6826897377268614,5,0.6516509134113773,0.03517619939688258,0.6432717678100264,0.627621247113164,0.6850698535600067
INV1,4,4,0.6034743073512548,0.07310471240841382,0.6224453547052685,0.5835274542545575,0.6423922078019658,4,0.6106310599530491,0.07247364301587506,0.6297237822219897,0.5976764845188267,0.6426783576562122
INV2,4,4,0.6605029107190983,0.056164069809122974,0.6699593155947305,0.630886549447777,0.6995756768660517,4,0.6660809088054166,0.056858895666384544,0.6773568316840137,0.6392195703505383,0.7042181701388921
UNIT1,4,4,0.6382314706293459,0.07878562995279405,0.6570782356207318,0.6213075652331311,0.6740021410169466,4,0.6469181227543198,0.07904407106793271,0.6672482585354589,0.6320097941944787,0.6821565870953
