label,level,n_valid,n_gt_present,n_pred_present,mean,sd,median,q1,q3
2,C2,17,17,17,0.6144665480404503,0.10346913156589337,0.6260053619302949,0.5462555066079295,0.7034482758620689
3,C3,17,17,17,0.6082801814271115,0.14749102499323774,0.6466380543633763,0.6,0.7098078867542973
4,C4,17,17,17,0.6092776976827361,0.07457213300725143,0.6193853427895981,0.5519125683060109,0.6620450606585788
5,C5,17,17,17,0.6368452594654413,0.08567857581105566,0.6531007751937985,0.5695266272189349,0.7037773359840954
6,C6,17,17,17,0.6699732314320602,0.044338700023349255,0.660217654171705,0.6436781609195402,0.6927784577723378
7,C7,17,17,17,0.6673327346332021,0.05747701675108568,0.6540600667408232,0.6359649122807017,0.7236842105263158
8,C8,17,17,17,0.6648514761268142,0.12124576473601838,0.7123655913978495,0.5873015873015873,0.7502287282708143
9,T1,17,17,17,0.6121958670138486,0.0779242435263571,0.594488188976378,0.5806451612903226,0.6810631229235881
