method,accuracy_scope,voxel_accuracy,balanced_accuracy,dorsal_dice,ventral_dice,component_accuracy,merged_accuracy,voxel_coverage,component_coverage,seconds_per_case,timing_scope,requires_cord_mask,prerequisite,prerequisite_seconds_per_case
V2,all manual rootlet voxels,0.8489856020942408,0.8746055658005212,0.8879718412428693,0.7683814303638645,0.900990099009901,0.7386363636363636,,,0.21478695888072252,arrays already loaded on Apple M5 Pro CPU,True,automatic cropped SCT cord mask,9.905466
V3,all manual rootlet voxels,0.975294502617801,0.9610363763692628,0.9832427033625569,0.9530034235916589,0.9801980198019802,0.7386363636363636,,,0.24939012480899692,arrays already loaded on Apple M5 Pro CPU,True,automatic cropped SCT cord mask,9.905466
V4,all manual rootlet voxels,0.9702225130890052,0.9575657091054921,0.9797327394209354,0.9438964241676943,0.9801980198019802,0.7386363636363636,,,0.2513919579796493,arrays already loaded on Apple M5 Pro CPU,True,automatic cropped SCT cord mask,9.905466
V5 hybrid,all manual rootlet voxels,0.9928010471204188,0.9866342648845686,0.9950980392156863,0.9864532019704434,0.9900990099009901,0.9136363636363637,,,18.914138875299443,locked Romane NVIDIA A6000 test run + arrays already loaded on Apple M5 Pro CPU combine,False,,
3-D classifier,all manual rootlet voxels,0.9932918848167539,0.9875455650060754,0.9954307366544076,0.9873884958474316,0.9900990099009901,0.9136363636363637,,,14.563333333333333,locked Romane NVIDIA A6000 test run,False,,
V5 gate (selective),accepted voxels/components only,0.9988594890510949,,,,0.987012987012987,,0.7172774869109948,0.7623762376237624,3.848181250039488,arrays already loaded on Apple M5 Pro CPU,False,,
