dataset,cases,v5_level_coverage_mean,v5_level_coverage_range,fallback_voxel_fraction_mean,dorsal_fraction_mean,exact_support_partitions
ds004507,2,0.625,0.250000–1.000000,0.3423901277332756,0.7981662516161256,2
hc-leipzig-7t-mp2rage,12,0.78125,0.625000–0.875000,0.16397039761762466,0.7325661708915289,12
marseille-rootlets,20,0.45,0.000000–0.750000,0.5595394440727698,0.8139906528614891,20
spine-generic/data-multi-subject,3,0.5416666666666666,0.375000–0.750000,0.48711219525071714,0.7553635005490814,3
