label,level,n_valid,n_gt_present,n_pred_present,mean,sd,median,q1,q3
2,C2,17,17,17,0.5974846702877853,0.12816567478939017,0.6529411764705882,0.5,0.7154605263157895
3,C3,17,17,17,0.5983968410599639,0.17131075773265395,0.653904282115869,0.6190748143917761,0.6857142857142857
4,C4,17,17,17,0.5564626578469978,0.08060789394182137,0.5692307692307692,0.4934210526315789,0.5919578114700066
5,C5,17,17,17,0.6084364052853909,0.08952279900061189,0.6492307692307693,0.5709342560553633,0.6578947368421053
6,C6,17,17,17,0.6582122359584571,0.05490131117930768,0.6740088105726872,0.6074429771908764,0.682095006090134
7,C7,17,17,17,0.664105410586475,0.05276952165401764,0.6590584878744651,0.6426116838487973,0.7051114023591087
8,C8,17,17,17,0.6416137675866108,0.11334482816224516,0.6882067851373183,0.595679012345679,0.6932952924393724
9,T1,17,17,17,0.5894448035477841,0.07727751786430155,0.5888324873096447,0.5669856459330144,0.632258064516129
