group,n_cases,macro_n,macro_mean,macro_sd,macro_median,macro_q1,macro_q3,binary_n,binary_mean,binary_sd,binary_median,binary_q1,binary_q3
All,17,17,0.614269599019933,0.0637233560790179,0.6357327897702976,0.5779280196723713,0.66218925642975,17,0.6253605039275769,0.06246916395353508,0.6473368478458462,0.5998421468034728,0.6696088264794383
T2w,5,5,0.6176354179791195,0.04684505418328446,0.6055391099979059,0.5959153017056085,0.6637512110598425,5,0.6378904934726441,0.041914338055253436,0.6473368478458462,0.6278145695364239,0.6696470588235294
INV1,4,4,0.5868028240432283,0.08462225761682181,0.6068304047213344,0.551286322329402,0.6423469064351607,4,0.5946117390125785,0.08340474120776108,0.6158981383327762,0.5691420733289354,0.6413678040164194
INV2,4,4,0.6359849634369594,0.056559809700526466,0.6505743392329182,0.6254295911063039,0.6611297115635737,4,0.6416687399786816,0.05514046866665567,0.6566401861993794,0.6313319061144027,0.6669770200636583
UNIT1,4,4,0.6158137358806287,0.08194083524674341,0.639853441997312,0.5978583597499982,0.6578088181279425,4,0.6241385458601368,0.08120729322054886,0.6465045840792465,0.6091627362290613,0.6614803937103222
